reference_id,sequence_number,image_id,date,time,latitude,longitude
pt00065,1,1197072940737216,2021-07-25,15:45:34,52.391614,13.220568
pt00065,2,138916711601318,2019-09-04,16:12:45,52.391670,13.220686
pt00065,3,143708371227664,2021-07-25,15:45:32,52.391677,13.220712
pt00065,4,1532366057102672,2017-06-25,10:44:14,52.391574,13.220553
pt00065,5,160666069344227,2020-04-16,11:33:23,52.391609,13.220657
pt00065,6,226733389250274,2016-08-28,12:37:29,52.391631,13.220550
pt00065,7,291209222487654,2018-03-25,15:40:27,52.391613,13.220726
pt00065,8,2941701089397819,2018-08-05,11:18:42,52.391594,13.220617
pt00067,0,1056145418242863,2020-05-17,11:49:37,52.427107,13.313832
pt00067,10,294295692345279,2020-04-15,15:03:47,52.427075,13.313762
pt00067,1,1379527096884701,2025-12-06,11:00:57,52.427140,13.313670
pt00067,2,1419571681893362,2016-07-01,21:45:08,52.427103,13.313665
pt00067,3,150715063726498,2018-03-24,15:32:04,52.427128,13.313763
pt00067,4,1511621696654702,2025-10-15,09:30:00,52.427121,13.313693
pt00067,5,175754388051373,2021-10-10,10:41:27,52.427181,13.313683
pt00067,6,178737220833736,2020-04-10,13:55:22,52.427082,13.313778
pt00067,7,212884103982294,2020-04-15,15:03:49,52.427213,13.313766
pt00067,8,369255234509846,2017-07-27,17:10:41,52.427138,13.313713
pt00067,9,2286229474857550,2016-07-01,21:45:09,52.427103,13.313665
pt00068,0,1015297516138657,2023-06-12,16:35:24,52.427829,13.326248
pt00068,1,1039036344854195,2025-05-24,19:47:31,52.427746,13.326314
pt00068,2,1046505863995936,2025-04-22,08:15:08,52.427791,13.326284
pt00068,3,1094469665549968,2024-12-10,08:36:08,52.427801,13.326297
pt00068,4,213407451297959,2023-04-10,14:35:01,52.427691,13.326260
pt00068,5,1161595241424871,2023-09-19,09:57:06,52.427823,13.326262
pt00069,0,296711896149343,2023-07-12,14:34:41,52.399207,13.227194
pt00069,1,1023626221600799,2020-04-16,11:29:51,52.399274,13.227117
pt00069,2,1054627913486569,2025-07-28,15:34:43,52.399332,13.227145
pt00069,3,1080706767024587,2025-07-28,15:34:45,52.399303,13.227261
pt00069,4,1084044938751515,2020-04-18,15:19:46,52.399360,13.227173
pt00069,5,1132337778714075,2025-07-28,15:34:43,52.399317,13.227189
